2024-02-17, 22:47:24, Admin, login,  /Fundo/visualizar_actividades.php, 127.0.0.1
2024-02-17, 22:47:35, Admin, login,  /Fundo/logout.php, 127.0.0.1
2024-02-17, 22:47:35, Admin, logout,  /Fundo/logout.php, 127.0.0.1
2024-02-17, 22:48:40, Admin, login,  /Fundo/visualizar_actividades.php, 127.0.0.1
2024-02-17, 22:48:55, Admin, login,  /Fundo/logout.php, 127.0.0.1
2024-02-17, 22:48:55, Admin, logout,  /Fundo/logout.php, 127.0.0.1
2024-02-17, 22:53:53, Admin, login,  /Fundo/logout.php, 127.0.0.1
2024-02-17, 22:53:53, Admin, logout,  /Fundo/logout.php, 127.0.0.1
2024-02-20, 08:57:01, Firmino, login,  /Fundo/logout.php, 127.0.0.1
2024-02-20, 08:57:01, Firmino, logout,  /Fundo/logout.php, 127.0.0.1
2024-02-20, 09:01:05, Ana, login,  /Fundo/logout.php, 127.0.0.1
2024-02-20, 09:01:05, Ana, logout,  /Fundo/logout.php, 127.0.0.1
2024-02-20, 09:03:49, Ana, login,  /Fundo/logout.php, 127.0.0.1
2024-02-20, 09:03:49, Ana, logout,  /Fundo/logout.php, 127.0.0.1
2024-02-20, 09:33:05, Raquel, login,  /Fundo/logout.php, 127.0.0.1
2024-02-20, 09:33:05, Raquel, logout,  /Fundo/logout.php, 127.0.0.1
2024-02-20, 09:37:13, Admin, login,  /Fundo/visualizar_actividades.php, 127.0.0.1
2024-02-20, 12:55:41, Firmino, login,  /Fundo/logout.php, 127.0.0.1
2024-02-20, 12:55:41, Firmino, logout,  /Fundo/logout.php, 127.0.0.1
2024-02-22, 13:25:09, Admin, login,  /Fundo/logout.php, 127.0.0.1
2024-02-22, 13:25:09, Admin, logout,  /Fundo/logout.php, 127.0.0.1
2024-02-22, 13:35:20, Admin, login,  /Fundo/logout.php, 127.0.0.1
2024-02-22, 13:35:20, Admin, logout,  /Fundo/logout.php, 127.0.0.1
2024-02-22, 13:35:52, Admin, login,  /Fundo/logout.php, 127.0.0.1
2024-02-22, 13:35:52, Admin, logout,  /Fundo/logout.php, 127.0.0.1
2024-02-22, 14:25:00, Admin, login,  /Fundo/logout.php, 127.0.0.1
2024-02-22, 14:25:00, Admin, logout,  /Fundo/logout.php, 127.0.0.1
2024-02-22, 14:57:38, Admin, login,  /Fundo/logout.php, 127.0.0.1
2024-02-22, 14:57:38, Admin, logout,  /Fundo/logout.php, 127.0.0.1
2024-02-22, 15:03:19, Admin, login,  /Fundo/logout.php, 127.0.0.1
2024-02-22, 15:03:19, Admin, logout,  /Fundo/logout.php, 127.0.0.1
2024-02-22, 16:09:06, Edilson, login,  /Fundo/logout.php, 127.0.0.1
2024-02-22, 16:09:06, Edilson, logout,  /Fundo/logout.php, 127.0.0.1
2024-02-22, 16:34:11, Cassimo, login,  /Fundo/logout.php, 127.0.0.1
2024-02-22, 16:34:11, Cassimo, logout,  /Fundo/logout.php, 127.0.0.1
2024-02-24, 22:16:30, Admin, login,  /Fundo/logout.php, 127.0.0.1
2024-02-24, 22:16:30, Admin, logout,  /Fundo/logout.php, 127.0.0.1
2024-03-17, 00:34:17, Liquidao, login,  /Fundo/logout.php, 127.0.0.1
2024-03-17, 00:34:17, Liquidao, logout,  /Fundo/logout.php, 127.0.0.1
2024-03-17, 00:38:11, Liquidao, login,  /Fundo/logout.php, 127.0.0.1
2024-03-17, 00:38:11, Liquidao, logout,  /Fundo/logout.php, 127.0.0.1
2024-03-28, 17:10:44, Admin, login,  /Fundo/logout.php, 127.0.0.1
2024-03-28, 17:10:44, Admin, logout,  /Fundo/logout.php, 127.0.0.1
2024-05-13, 07:35:09, Admin, login,  /Fundo/logout.php, 127.0.0.1
2024-05-13, 07:35:09, Admin, logout,  /Fundo/logout.php, 127.0.0.1
2024-05-28, 09:05:50, Admin, login,  /Fundo/logout.php, 127.0.0.1
2024-05-28, 09:05:50, Admin, logout,  /Fundo/logout.php, 127.0.0.1
2024-05-28, 09:36:33, justino, login,  /Fundo/logout.php, 127.0.0.1
2024-05-28, 09:36:33, justino, logout,  /Fundo/logout.php, 127.0.0.1
2024-07-21, 00:00:52, justino, login,  /Fundo/logout.php, 127.0.0.1
2024-07-21, 00:00:52, justino, logout,  /Fundo/logout.php, 127.0.0.1
